"case_id","category","title","symptom","topology","device_context","show_commands","show_output","expected_fault","osi_layer","concept","severity","expected_next_command","expected_fix","verification_command"
"CASE-001","VLAN","Wrong VLAN on Access Port","PC1 and PC2 are supposed to be in the same VLAN but cannot ping each other even though they have IPs in the same subnet.","PC1 -> Fa0/1 (SW1) | PC2 -> Fa0/2 (SW1)","Cisco 2960 switch SW1. PC1 is on Fa0/1 and PC2 is on Fa0/2. Both should be in VLAN 10.","show vlan brief","VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3
10   VLAN0010                         active    Fa0/1
20   VLAN0020                         active    Fa0/4","PC2 on Fa0/2 is assigned to VLAN 1 (default) instead of VLAN 10. That is why PC1 and PC2 cannot communicate.","Layer 2","VLAN access port assignment","high","show interfaces Fa0/2 switchport","SW1(config)# interface Fa0/2
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 10","show vlan brief"
"CASE-002","VLAN","VLAN Does Not Exist in Database","Ports Fa0/3 and Fa0/4 are configured for VLAN 20 but hosts connected to them cannot send any traffic.","PC3 -> Fa0/3 (SW1) | PC4 -> Fa0/4 (SW1)","Cisco 2960 switch SW1. VLAN 20 is assigned to Fa0/3 and Fa0/4 but VLAN 20 was never created.","show vlan brief","VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/5, Fa0/6
10   VLAN0010                         active    Fa0/1, Fa0/2","VLAN 20 does not exist in the VLAN database. Ports assigned to a non-existent VLAN become inactive.","Layer 2","VLAN database existence","high","show interfaces Fa0/3 switchport","SW1(config)# vlan 20
SW1(config-vlan)# name SALES
SW1(config-vlan)# exit","show vlan brief"
"CASE-003","VLAN","VLAN Missing from Trunk Allowed List","VLAN 30 users on SW1 can talk to each other but cannot reach VLAN 30 users on SW2. All other VLANs work fine between the two switches.","PC5 -> Fa0/5 (SW1) | PC6 -> Fa0/5 (SW2) | SW1 Gi0/1 -- trunk -- Gi0/1 SW2","Cisco 2960 switches SW1 and SW2 connected via Gi0/1 trunk link. VLAN 30 exists on both switches but is excluded from the trunk.","show interfaces trunk","Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-29,31-4094

Port        Vlans allowed and active in management domain
Gi0/1       1,10,20","VLAN 30 is not in the allowed VLAN list on the trunk. Frames tagged with VLAN 30 are dropped at the trunk port.","Layer 2","Trunk allowed VLAN list","high","show vlan brief","SW1(config)# interface Gi0/1
SW1(config-if)# switchport trunk allowed vlan add 30

SW2(config)# interface Gi0/1
SW2(config-if)# switchport trunk allowed vlan add 30","show interfaces trunk"
"CASE-004","VLAN","Access Port Set to Trunk Mode","A PC connected to Fa0/10 cannot get a DHCP address and cannot pass traffic. The port shows as trunk instead of access.","PC7 -> Fa0/10 (SW1)","Cisco 2960 switch SW1. Fa0/10 should be an access port in VLAN 10 for a regular PC but was accidentally configured as a trunk.","show interfaces Fa0/10 switchport","Name: Fa0/10
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Administrative Trunking Encapsulation: dot1q
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)","Fa0/10 is in trunk mode. A regular PC cannot handle 802.1Q tags so it receives no valid frames and cannot get a DHCP address.","Layer 2","Switchport mode access vs trunk","medium","show running-config interface Fa0/10","SW1(config)# interface Fa0/10
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 10","show interfaces Fa0/10 switchport"
"CASE-005","Routing","Wrong Default Gateway on PC","PC1 (192.168.10.5/24) can ping all PCs in the same subnet but cannot reach any device outside the subnet.","PC1 -> SW1 -> R1 (Fa0/0: 192.168.10.1) -> Internet","PC1 has a static IP with gateway set to 192.168.10.100 which does not exist. The correct gateway is 192.168.10.1.","show ip interface brief (on router R1)","Interface              IP-Address      OK? Method Status                Protocol
FastEthernet0/0        192.168.10.1    YES manual up                    up
FastEthernet0/1        192.168.20.1    YES manual up                    up","PC1 has the wrong default gateway configured (192.168.10.100). No router exists at that address so off-subnet traffic cannot be forwarded.","Layer 3","Default gateway configuration","medium","ping 192.168.10.1 (from PC1)","On PC1: Change default gateway from 192.168.10.100 to 192.168.10.1","ping 192.168.20.1 (from PC1)"
"CASE-006","Routing","Missing Static Route","R1 can reach the 192.168.10.0/24 network but cannot reach 192.168.30.0/24 even though R2 is the next hop and is reachable.","PC1 (192.168.10.0/24) -> R1 -> R2 -> PC2 (192.168.30.0/24)","Cisco routers R1 and R2 connected via 10.0.0.0/30. R1 has no route to 192.168.30.0/24.","show ip route","Codes: C - connected, S - static, R - RIP

Gateway of last resort is not set

C    192.168.10.0/24 is directly connected, Fa0/0
C    10.0.0.0/30 is directly connected, Se0/0","R1 has no route to the 192.168.30.0/24 network. Packets destined for that subnet are dropped because R1 does not know how to forward them.","Layer 3","Static routing","high","ping 10.0.0.2","R1(config)# ip route 192.168.30.0 255.255.255.0 10.0.0.2","show ip route"
"CASE-007","Routing","OSPF Neighbor Not Forming","Two routers R1 and R2 are connected but OSPF neighbor relationship is stuck in INIT or DOWN state. No routes are being exchanged.","R1 Gi0/0 -- link -- Gi0/0 R2","Cisco routers R1 and R2. OSPF is configured on both but R1 is in area 0 and R2 is in area 1 on the same link.","show ip ospf neighbor","Neighbor ID     Pri   State           Dead Time   Address         Interface
(no output - no neighbors listed)","R1 and R2 have mismatched OSPF area numbers on the connected interface. OSPF neighbors must be in the same area to form an adjacency.","Layer 3","OSPF area mismatch","high","show ip ospf interface Gi0/0","R2(config)# router ospf 1
R2(config-router)# no network 172.16.0.0 0.0.0.255 area 1
R2(config-router)# network 172.16.0.0 0.0.0.255 area 0","show ip ospf neighbor"
"CASE-008","Routing","OSPF Hello Timer Mismatch","OSPF neighbor relationship keeps going down and coming back up. The link is stable but the adjacency is flapping.","R1 Gi0/0 -- link -- Gi0/0 R2","Cisco routers R1 and R2. OSPF hello interval on R1 is 10 seconds (default) but on R2 it was manually set to 5 seconds.","show ip ospf interface Gi0/0","GigabitEthernet0/0 is up, line protocol is up
Internet Address 192.168.1.1/30, Area 0
Hello interval 10, Dead interval 40
Neighbor Count is 0, Adjacent neighbor count is 0","OSPF hello timers do not match between R1 and R2. Routers must have the same hello and dead intervals to maintain a stable adjacency.","Layer 3","OSPF hello and dead timers","medium","show ip ospf interface (on R2)","R2(config)# interface Gi0/0
R2(config-if)# ip ospf hello-interval 10
R2(config-if)# ip ospf dead-interval 40","show ip ospf neighbor"
"CASE-009","Routing","RIP Version Mismatch","R1 and R2 are running RIP but are not exchanging routing updates. Both have RIP configured but no routes appear in the routing table.","R1 Se0/0 -- serial link -- Se0/0 R2","Cisco routers R1 using RIP version 1 and R2 using RIP version 2. RIPv1 and RIPv2 are not compatible in this setup.","show ip protocols","Routing Protocol is RIP
Version 1
Sending updates every 30 seconds
Invalid after 180 seconds","R1 is running RIP version 1 and R2 is running RIP version 2. RIPv1 does not understand version 2 updates and vice versa in this case.","Layer 3","RIP version compatibility","medium","show ip route","R1(config)# router rip
R1(config-router)# version 2","show ip route"
"CASE-010","Routing","Default Route Not Advertised in OSPF","All routers in the OSPF domain can reach each other but none can reach the Internet. The edge router R1 has a default route but it is not shared with other routers.","PC -> R2 -> R1 -> ISP (Internet)","Cisco routers running OSPF. R1 has a default route via ISP but it is not redistributed into OSPF so other routers have no Internet route.","show ip route (on R2)","Codes: O - OSPF, C - connected

O    192.168.10.0/24 [110/2] via 10.0.0.1
C    10.0.0.0/30 is directly connected, Gi0/0

(no default route entry)","R1 has a default route but it is not being advertised into OSPF. Other routers do not know how to reach the Internet.","Layer 3","OSPF default route redistribution","high","show ip route (on R1)","R1(config)# router ospf 1
R1(config-router)# default-information originate","show ip route (on R2)"
